Gage Name	Structure gage having no data estimated prior to construction (post-1990)	Structure gage with missing data that has not been estimated	Period of measured record	Period of hindcasted record
NESRS5	N	N	6/26/90 - current	1/1/90 - 6/25/90
NMP	N	N	1/1/00 - current	1/1/90 - 12/31/99
NORTH_CA1	N	N	6/20/01 - current	1/1/90 - 6/19/01
NP201	N	N	1/1/90 - current	None
NP202	N	N	1/1/90 - current	None
NP203	N	N	1/1/90 - current	None
NP205	N	N	1/1/90 - current	None
NP206	N	N	1/1/90 - current	None
NP44	N	N	1/1/90 - current	None
NP46	N	N	1/1/90 - current	None
NP62	N	N	1/1/90 - current	None
NP67	N	N	1/1/90 - current	None
NP72	N	N	1/1/90 - current	None
NTS1	N	N	1/1/90 - current	None
NTS10	N	N	3/11/94 - current	1/1/90 - 3/10/94
NTS14	N	N	3/15/94 - current	1/1/90 - 3/14/94
NTS18	N	N	4/23/98 - current	1/1/90 - 4/22/98
OL	N	N	4/10/96 - current	1/1/90 - 4/9/96
OT	N	N	1/1/90 - current	None
P33	N	N	1/1/90 - current	None
P34	N	N	1/1/90 - current	None
P35	N	N	1/1/90 - current	None
P36	N	N	1/1/90 - current	None
P37	N	N	1/1/90 - current	None
P38	N	N	1/1/90 - current	None
R127	N	N	1/1/90 - current	None
R3110	N	N	1/1/90 - current	None
RG1	N	N	9/14/96 - current	1/1/90 - 9/13/96
RG2	N	N	11/21/96 - current	1/1/90 - 11/20/96
RG3	N	N	6/9/00 - current	1/1/90 - 6/8/00
S10A_H	N	N	1/3/90 - current	1/1/90 - 1/2/90
S10A_T	N	N	1/1/90 - current	None
S10C_H	N	N	1/3/90 - current	1/1/90 - 1/2/90
S10C_T	N	N	1/1/90 - current	None
S10D_H	N	N	1/3/90 - current	1/1/90 - 1/2/90
S10D_T	N	N	1/9/90 - current	1/1/90 - 1/8/90
S11A_H	N	N	1/1/90 - current	None
S11A_T	N	N	1/1/90 - current	None
S11B_H	N	N	1/1/90 - current	None
S11B_T	N	N	1/1/90 - current	None
S11C_H	N	N	1/1/90 - current	None
S11C_T	N	N	1/1/90 - current	None
